profile,nr_reactions,nr_comments,nr_shares,comments/post,post_interaction_rate,engagement,nr_likes,post_id,followers,post_type
walt disney animation studios,2050,67,265,70,"1,87E+12",1870000000000.0,1342,23245476854_931106021719588,12000000,2
walt disney studios (us),189,4,11,4,"5,55E+09",5550000000.0,164,111382562236411_893982535684017,16000000,2
happy hollow park & zoo,10,0,2,0,"3,04E+10",30400000000.0,9,132942835175_750014980488673,39000,1
wild adventures theme park,15,0,0,0,"8,15E+10",81500000000.0,14,84679583132_765812315591953,66,1
knott's berry farm,140,5,5,8,"2,39E+12",2390000000000.0,124,10286130875_754665310045206,637000,1
cedar point,76,11,24,12,"7,13E+10",71300000000.0,66,10625691462_762286652597259,1500000,1
skypark at santa's village,21,0,1,0,"3,95E+11",395000000000.0,18,653315854781004_670165915297549,57000,1
busch gardens williamsburg,389,7,22,7,"5,88E+11",588000000000.0,300,18543728314_755368293298475,690000,1
santa cruz beach boardwalk,231,8,6,13,"6,02E+11",602000000000.0,193,40035168377_796283245876045,400000,1
walt disney studios (us),107,4,12,5,"3,37E+10",33700000000.0,87,111382562236411_893930672355870,16000000,2
acn - america's coaster network,15,2,3,5,0.011985409067222511,0.0119854090672225,9,111078814744_1033576807745230,4000,1
silverwood theme park,197,81,9,206,0.001076001765478625,0.0010760017654786,172,762701550509617_674980351498028,381000,1
happy hollow park & zoo,7,1,1,1,"2,28E+12",2280000000000.0,7,132942835175_749911570499014,39000,1
west edmonton mall,96,4,2,5,"5,58E+11",558000000000.0,39,207298682218_756689799838788,189464,1
walt disney animation studios,3964,99,470,142,"3,59E+11",359000000000.0,2528,23245476854_929392115224312,12000000,1
skypark at santa's village,36,3,8,4,"8,62E+11",862000000000.0,26,653315854781004_670089311971876,57000,2
wild adventures theme park,15,0,1,0,"8,70E+10",87000000000.0,14,84679583132_765702815602903,66,1
legoland california,34,6,4,7,"6,89E+10",68900000000.0,30,143631389003522_762394342593496,650000,2
